[ 2026-06-02 15:53:44,005 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-02 15:53:46,613 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-02 15:53:46,614 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-02 15:53:46,614 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-02 15:53:46,690 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-02 15:53:46,691 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-02 15:53:46,702 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-02 15:53:46,735 ] 32 root - INFO - Required number of columns:2
[ 2026-06-02 15:53:46,735 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-02 15:53:46,735 ] 32 root - INFO - Required number of columns:2
[ 2026-06-02 15:53:46,735 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-02 15:53:46,930 ] 30 root - INFO - data Validation Completed
[ 2026-06-02 15:53:46,930 ] 34 root - INFO - data Transformation started
[ 2026-06-02 15:53:46,930 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-02 15:53:46,930 ] 65 root - INFO - Starting data transformation
[ 2026-06-02 15:53:46,975 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-02 15:53:46,975 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-02 15:53:46,998 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-02 15:53:47,003 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-02 15:53:47,003 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-02 15:53:47,009 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-02 15:53:47,010 ] 38 root - INFO - data Transformation completed
[ 2026-06-02 15:53:47,010 ] 40 root - INFO - Model Training sstared
